epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59.1354,1.14814,0.87933,1.4377,0.91395,0.88333,0.9462,0.56007,1.40859,0.78444,1.7522,0.00029705,0.00029705,0.00029705
43,60.4773,1.02756,0.80439,1.37634,0.92479,0.9,0.95575,0.55809,1.3752,0.81567,1.74057,0.0002921,0.0002921,0.0002921
44,61.7952,1.25465,0.99411,1.55672,0.93015,0.88783,0.96307,0.56329,1.38121,0.83153,1.74194,0.00028715,0.00028715,0.00028715
45,63.146,1.10811,0.87972,1.44266,0.94684,0.88333,0.95943,0.56082,1.42664,0.82134,1.76986,0.0002822,0.0002822,0.0002822
46,64.4841,1.12189,0.89272,1.46217,0.93178,0.91065,0.94403,0.54231,1.48505,0.82753,1.81441,0.00027725,0.00027725,0.00027725
47,65.8541,1.15069,0.91968,1.49477,0.94539,0.9,0.9429,0.52287,1.51588,0.83061,1.83235,0.0002723,0.0002723,0.0002723
48,67.2048,1.05375,0.84059,1.38422,0.97364,0.9,0.94194,0.48765,1.519,0.83972,1.84278,0.00026735,0.00026735,0.00026735
49,68.5296,1.13617,0.9492,1.49786,0.9744,0.9,0.9428,0.49674,1.51372,0.82956,1.84486,0.0002624,0.0002624,0.0002624
50,69.8813,1.2004,0.9444,1.55215,0.93139,0.905,0.94503,0.51659,1.50447,0.79797,1.84443,0.00025745,0.00025745,0.00025745
51,71.2594,1.11333,0.86308,1.45516,0.94885,0.92758,0.95636,0.53175,1.45503,0.76296,1.81137,0.0002525,0.0002525,0.0002525
52,72.6075,1.14118,0.85167,1.47299,0.93277,0.93333,0.9637,0.53355,1.42357,0.75775,1.78837,0.00024755,0.00024755,0.00024755
53,73.95,1.08556,0.83662,1.41284,0.92994,0.93333,0.96422,0.52912,1.42605,0.73923,1.79143,0.0002426,0.0002426,0.0002426
54,75.28,1.16873,0.86935,1.47384,0.90412,0.94304,0.96329,0.53141,1.42582,0.72958,1.78726,0.00023765,0.00023765,0.00023765
55,76.6054,1.06307,0.877,1.43531,0.89404,0.95,0.96462,0.53642,1.4284,0.7164,1.78429,0.0002327,0.0002327,0.0002327
56,77.9529,1.06314,0.82929,1.41999,0.91159,0.95,0.96052,0.5401,1.42184,0.72473,1.77245,0.00022775,0.00022775,0.00022775
57,79.2951,1.05707,0.81848,1.38142,0.94791,0.90987,0.9717,0.55851,1.41982,0.71545,1.77249,0.0002228,0.0002228,0.0002228
58,80.6559,1.07187,0.8094,1.41401,0.90014,0.93333,0.96806,0.5625,1.41421,0.71229,1.77052,0.00021785,0.00021785,0.00021785
59,82.0945,1.03413,0.82221,1.40635,0.94834,0.9,0.9701,0.56286,1.41766,0.70962,1.78723,0.0002129,0.0002129,0.0002129
60,83.4592,1.00907,0.79528,1.3605,0.96462,0.90897,0.97006,0.56872,1.42586,0.70973,1.79513,0.00020795,0.00020795,0.00020795
61,85.048,1.0383,0.78629,1.39964,0.93871,0.93333,0.97058,0.57029,1.45111,0.73236,1.8243,0.000203,0.000203,0.000203
62,86.4281,1.08614,0.86384,1.42162,0.92787,0.95,0.96992,0.55144,1.47244,0.73524,1.84952,0.00019805,0.00019805,0.00019805
63,87.767,1.03572,0.79519,1.38817,0.93424,0.94716,0.96599,0.56154,1.4706,0.72929,1.8527,0.0001931,0.0001931,0.0001931
64,89.1059,0.99602,0.7865,1.35854,0.93376,0.96667,0.96867,0.56814,1.4564,0.71995,1.83435,0.00018815,0.00018815,0.00018815
65,90.4592,0.97244,0.74448,1.33862,0.93462,0.96667,0.96997,0.57323,1.44898,0.7139,1.82654,0.0001832,0.0001832,0.0001832
66,91.8507,0.98032,0.75307,1.35505,0.93548,0.96657,0.97047,0.57733,1.45525,0.71264,1.83243,0.00017825,0.00017825,0.00017825
67,93.2638,1.07416,0.84594,1.42509,0.93372,0.96667,0.97106,0.58056,1.47923,0.69079,1.86958,0.0001733,0.0001733,0.0001733
68,94.6339,1.02653,0.80412,1.41253,0.95516,0.88333,0.95702,0.57388,1.48698,0.70229,1.884,0.00016835,0.00016835,0.00016835
69,95.9867,0.96149,0.71035,1.32023,0.93524,0.9,0.95635,0.57317,1.50538,0.711,1.89983,0.0001634,0.0001634,0.0001634
70,97.3378,0.94997,0.75613,1.32488,0.94362,0.9,0.95573,0.57129,1.51601,0.71517,1.91323,0.00015845,0.00015845,0.00015845
71,98.7176,0.95697,0.74303,1.32556,0.90785,0.93333,0.96553,0.56817,1.51228,0.71683,1.9085,0.0001535,0.0001535,0.0001535
72,100.074,1.03861,0.8107,1.40914,0.90026,0.95,0.96504,0.57226,1.50175,0.71056,1.89568,0.00014855,0.00014855,0.00014855
73,101.422,1.05413,0.84897,1.45008,0.90072,0.95,0.96361,0.56921,1.48829,0.70409,1.88278,0.0001436,0.0001436,0.0001436
74,102.756,0.96642,0.771,1.37499,0.90195,0.95,0.96388,0.56866,1.48213,0.69793,1.87711,0.00013865,0.00013865,0.00013865
75,104.129,1.03381,0.77466,1.39136,0.89364,0.95,0.95913,0.5647,1.47157,0.71846,1.86546,0.0001337,0.0001337,0.0001337
76,105.474,0.94388,0.73281,1.31864,0.91935,0.94989,0.95876,0.56358,1.4747,0.73255,1.86006,0.00012875,0.00012875,0.00012875
77,106.833,0.9886,0.75076,1.33045,0.91921,0.94811,0.95648,0.56059,1.47176,0.74318,1.8558,0.0001238,0.0001238,0.0001238
78,108.175,0.97801,0.75514,1.32006,0.91887,0.94391,0.95438,0.55552,1.47383,0.73413,1.85225,0.00011885,0.00011885,0.00011885
79,109.518,0.99121,0.74835,1.33938,0.92327,0.93333,0.9527,0.55925,1.46404,0.72582,1.84317,0.0001139,0.0001139,0.0001139
80,110.869,0.92496,0.74364,1.31513,0.93116,0.93333,0.95755,0.5598,1.45679,0.7222,1.83687,0.00010895,0.00010895,0.00010895
81,112.223,0.98733,0.75125,1.3455,0.94882,0.92703,0.96139,0.55434,1.448,0.71746,1.83174,0.000104,0.000104,0.000104
82,113.58,0.90664,0.68443,1.29547,0.93709,0.91667,0.9607,0.55542,1.44395,0.71089,1.83135,9.905e-05,9.905e-05,9.905e-05
83,114.96,0.95399,0.74603,1.34305,0.89992,0.95,0.96566,0.5368,1.44488,0.70328,1.83455,9.41e-05,9.41e-05,9.41e-05
84,116.301,0.94785,0.73175,1.34792,0.90392,0.94082,0.95801,0.53351,1.45089,0.70777,1.84458,8.915e-05,8.915e-05,8.915e-05
85,117.642,0.89045,0.67838,1.29202,0.90422,0.94412,0.95992,0.53103,1.46473,0.70948,1.85569,8.42e-05,8.42e-05,8.42e-05
86,119.008,0.95675,0.74155,1.31761,0.90449,0.947,0.95964,0.52681,1.47396,0.71724,1.86766,7.925e-05,7.925e-05,7.925e-05
87,120.338,0.88559,0.69154,1.27528,0.9047,0.9493,0.95905,0.52344,1.4819,0.71911,1.87501,7.43e-05,7.43e-05,7.43e-05
88,121.664,1.01623,0.73584,1.38759,0.88818,0.93333,0.95536,0.51807,1.478,0.71984,1.87756,6.935e-05,6.935e-05,6.935e-05
89,123.082,0.89396,0.6996,1.27744,0.88378,0.95,0.9562,0.52161,1.47262,0.71739,1.87087,6.44e-05,6.44e-05,6.44e-05
90,124.417,0.90649,0.67919,1.30765,0.88854,0.93009,0.95516,0.52277,1.45881,0.712,1.85689,5.945e-05,5.945e-05,5.945e-05
91,141.67,0.75054,0.58204,1.17302,0.90787,0.95,0.96469,0.53922,1.44,0.70456,1.85197,5.45e-05,5.45e-05,5.45e-05
92,142.958,0.7653,0.58189,1.18147,0.87622,0.95,0.96328,0.5346,1.43528,0.70955,1.85775,4.955e-05,4.955e-05,4.955e-05
93,144.248,0.67393,0.53007,1.15914,0.85286,0.96602,0.95999,0.52155,1.43685,0.71424,1.86937,4.46e-05,4.46e-05,4.46e-05
94,145.534,0.74515,0.54955,1.20968,0.85227,0.96156,0.95925,0.52266,1.44584,0.71948,1.88422,3.965e-05,3.965e-05,3.965e-05
95,146.902,0.66451,0.52511,1.11504,0.93062,0.89433,0.95834,0.5091,1.45589,0.72609,1.8963,3.47e-05,3.47e-05,3.47e-05
96,148.2,0.69507,0.50607,1.18304,0.91974,0.88333,0.95852,0.51238,1.47394,0.73358,1.9174,2.975e-05,2.975e-05,2.975e-05
97,149.556,0.73478,0.53464,1.19946,0.91808,0.88333,0.95685,0.51505,1.48135,0.73584,1.92332,2.48e-05,2.48e-05,2.48e-05
98,150.889,0.73387,0.5011,1.20897,0.91446,0.89094,0.95761,0.51574,1.48877,0.73939,1.93259,1.985e-05,1.985e-05,1.985e-05
99,152.257,0.71322,0.50932,1.16132,0.91516,0.89897,0.95826,0.51796,1.50139,0.74408,1.94841,1.49e-05,1.49e-05,1.49e-05
100,153.64,0.68788,0.48969,1.16194,0.91525,0.89997,0.95841,0.51252,1.50388,0.74673,1.95319,9.95e-06,9.95e-06,9.95e-06
