pipeline,map50_common,precision_at_conf,recall_at_conf,f1_at_conf,true_positives,false_positives,false_negatives,accepted_predictions,latency_ms_per_image,real_fps
YOLOv8s solo,0.9630426081302426,0.8850574712643678,0.9746835443037974,0.927710843373494,77,10,2,87,68.92076850005348,14.50941453154609
YOLOv8s + Qwen 0.8B,0.9555669912105553,0.9047619047619048,0.9620253164556962,0.9325153374233128,76,8,3,84,2962.739825201667,0.33752541869987934
YOLOv8s + Qwen 2B,0.9656438273925845,0.927710843373494,0.9746835443037974,0.9506172839506173,77,6,2,83,8929.119545431846,0.11199312484416246
